Mode,Dropout,Epoch,Ppl
train,0.8,1,541.1309434536136
validation,0.8,1,279.13608127476977
train,0.8,2,255.42332651316826
validation,0.8,2,195.3234046397764
train,0.8,3,205.48547731572305
validation,0.8,3,176.68575356300866
train,0.8,4,183.48129227825166
validation,0.8,4,164.5888660521667
train,0.8,5,169.7284764157384
validation,0.8,5,157.44286122468552
train,0.8,6,159.96474715772982
validation,0.8,6,150.53479132914316
train,0.8,7,153.40732630267718
validation,0.8,7,146.90231003531065
train,0.8,8,148.8601647699577
validation,0.8,8,144.43825480776474
train,0.8,9,144.98167928536992
validation,0.8,9,141.94125911133247
train,0.8,10,141.66497136766543
validation,0.8,10,140.06482379985272
train,0.8,11,138.41495649003923
validation,0.8,11,138.76418808422605
train,0.8,12,136.8034334337086
validation,0.8,12,137.22236394764164
train,0.8,13,133.42534635206957
validation,0.8,13,135.07422777647932
train,0.8,14,132.93262672939
validation,0.8,14,133.61330407632613
train,0.8,15,131.58482164881443
validation,0.8,15,132.4333757881425
train,0.8,16,129.0184325593733
validation,0.8,16,130.48841337306504
train,0.8,17,127.97802910510728
validation,0.8,17,129.89896148403497
train,0.8,18,127.06944989819739
validation,0.8,18,130.313720940837
train,0.8,19,119.17396442075211
validation,0.8,19,124.6857702760097
train,0.8,20,115.08568106917747
validation,0.8,20,123.69486702479706
train,0.8,21,112.73733663931729
validation,0.8,21,122.98034567322682
train,0.8,22,110.84448843338564
validation,0.8,22,122.66864717450127
train,0.8,23,108.6295959007672
validation,0.8,23,122.1356458124732
train,0.8,24,107.8191965301806
validation,0.8,24,121.48449765371713
train,0.8,25,106.76725144747151
validation,0.8,25,121.52183855990158
train,0.8,26,105.2146646505863
validation,0.8,26,119.69829462117305
train,0.8,27,104.10428359553242
validation,0.8,27,119.55057619965052
train,0.8,28,104.15829834492408
validation,0.8,28,119.51162698853501
train,0.8,29,103.12481257894872
validation,0.8,29,119.54512382861009
train,0.8,30,102.1634578484675
validation,0.8,30,119.35202610034341
train,0.8,31,102.68800400375231
validation,0.8,31,119.17504426342826
train,0.8,32,102.14067184429791
validation,0.8,32,119.17133466716325
train,0.8,33,102.12274140737732
validation,0.8,33,119.16419466711098
train,0.8,34,102.05090709179473
validation,0.8,34,119.12921543745676
train,0.8,35,102.16791393714739
validation,0.8,35,119.19297762551837
train,0.8,36,101.88765675455728
validation,0.8,36,119.17433673760293
train,0.8,37,102.46059472233392
validation,0.8,37,119.16774394356217
train,0.8,38,101.12086605031338
validation,0.8,38,119.16526728779961
train,0.8,39,101.8844386130978
validation,0.8,39,119.1648934969681
train,0.8,40,101.41959135540961
validation,0.8,40,119.16495875059404
test,0.8,,123.17745764025376
