Mode,Dropout,Epoch,Ppl
train,0.2,1,512.0178899485638
validation,0.2,1,262.7606132529548
train,0.2,2,193.1198988382253
validation,0.2,2,157.08308891444554
train,0.2,3,128.68288129602448
validation,0.2,3,143.6802230666375
train,0.2,4,98.53923445479819
validation,0.2,4,122.54680401263988
train,0.2,5,81.15271522250096
validation,0.2,5,110.23246735188
train,0.2,6,70.10985802533301
validation,0.2,6,108.82735569331562
train,0.2,7,61.149426831296275
validation,0.2,7,104.97116021452074
train,0.2,8,54.65432762311376
validation,0.2,8,104.28912240622256
train,0.2,9,49.342618506277766
validation,0.2,9,104.94636693835947
train,0.2,10,38.722218622963794
validation,0.2,10,102.00040744038148
train,0.2,11,35.56908129446824
validation,0.2,11,102.62482587089971
train,0.2,12,32.84379946880127
validation,0.2,12,101.37149410343335
train,0.2,13,32.09007771519346
validation,0.2,13,101.55412060534508
train,0.2,14,31.415500012566696
validation,0.2,14,100.7162056794948
train,0.2,15,31.17281063379998
validation,0.2,15,100.68598973278436
train,0.2,16,31.027954123709137
validation,0.2,16,100.6831735402935
train,0.2,17,30.790923602052256
validation,0.2,17,100.78327277451189
train,0.2,18,30.602966964506386
validation,0.2,18,100.72745349662671
train,0.2,19,30.58051838206529
validation,0.2,19,100.71884213497519
train,0.2,20,30.517569574715825
validation,0.2,20,100.71558264908566
train,0.2,21,30.656750588689707
validation,0.2,21,100.7151172574724
train,0.2,22,30.59918843578725
validation,0.2,22,100.71482194048714
train,0.2,23,30.56907298227072
validation,0.2,23,100.71481973792154
train,0.2,24,30.41281246239711
validation,0.2,24,100.71483601963351
train,0.2,25,30.628486686801494
validation,0.2,25,100.71484206589331
train,0.2,26,30.515076570371125
validation,0.2,26,100.71483904276336
train,0.2,27,30.571456546666823
validation,0.2,27,100.71483416256808
train,0.2,28,30.580728435452077
validation,0.2,28,100.71484020882778
train,0.2,29,30.49083684201858
validation,0.2,29,100.71484357745828
train,0.2,30,30.549233267885956
validation,0.2,30,100.71484357745828
train,0.2,31,30.61369975680334
validation,0.2,31,100.71484357745828
train,0.2,32,30.57415075282778
validation,0.2,32,100.71484357745828
train,0.2,33,30.45770577921031
validation,0.2,33,100.71484357745828
train,0.2,34,30.58883478392391
validation,0.2,34,100.71484357745828
train,0.2,35,30.568998423718153
validation,0.2,35,100.71484357745828
train,0.2,36,30.617835797602762
validation,0.2,36,100.71484357745828
train,0.2,37,30.650651426694157
validation,0.2,37,100.71484357745828
train,0.2,38,30.483905356614788
validation,0.2,38,100.71484357745828
train,0.2,39,30.49639254457989
validation,0.2,39,100.71484357745828
train,0.2,40,30.604085875004035
validation,0.2,40,100.71484357745828
test,0.2,,105.97303227721837
