Mode,Dropout,Epoch,Ppl
train,0.6,1,518.1790307393811
validation,0.6,1,272.64079548719724
train,0.6,2,214.35688481947653
validation,0.6,2,167.5294756033194
train,0.6,3,155.73731423901097
validation,0.6,3,148.41523954488852
train,0.6,4,130.58156587342162
validation,0.6,4,133.35930998191893
train,0.6,5,115.44308549667042
validation,0.6,5,123.47379099262439
train,0.6,6,104.72146602908555
validation,0.6,6,118.4935984795863
train,0.6,7,96.89906940618656
validation,0.6,7,114.20567405601147
train,0.6,8,91.23968695393735
validation,0.6,8,110.18792222297012
train,0.6,9,86.87230795147404
validation,0.6,9,107.56419805832745
train,0.6,10,82.96944158530502
validation,0.6,10,105.73969574408532
train,0.6,11,80.0286221783023
validation,0.6,11,104.78070714403711
train,0.6,12,77.50466256034872
validation,0.6,12,103.37274296620322
train,0.6,13,75.08448985011134
validation,0.6,13,101.64189907886492
train,0.6,14,73.49647240265737
validation,0.6,14,102.86794506802617
train,0.6,15,66.40045234381039
validation,0.6,15,98.33321678929082
train,0.6,16,63.72744979047787
validation,0.6,16,97.78105888180012
train,0.6,17,62.05012205285178
validation,0.6,17,97.41947505559644
train,0.6,18,61.21993450424027
validation,0.6,18,97.90308390654167
train,0.6,19,59.692702877916815
validation,0.6,19,96.79297099108413
train,0.6,20,58.94615896610335
validation,0.6,20,96.65609421711032
train,0.6,21,58.655197068766775
validation,0.6,21,96.59996746988477
train,0.6,22,58.16088198494722
validation,0.6,22,96.86868929886579
train,0.6,23,58.19494022694135
validation,0.6,23,96.37411942771656
train,0.6,24,57.57514111072294
validation,0.6,24,96.2633658539357
train,0.6,25,57.57543006444724
validation,0.6,25,96.20471892897199
train,0.6,26,57.38361029087752
validation,0.6,26,96.11674028834632
train,0.6,27,57.549503442955505
validation,0.6,27,96.02258923808385
train,0.6,28,57.19690910424877
validation,0.6,28,96.05013056863591
train,0.6,29,57.09859745573203
validation,0.6,29,95.98991126496249
train,0.6,30,57.05105923251392
validation,0.6,30,95.99776618300258
train,0.6,31,56.82998894740669
validation,0.6,31,95.99500463827107
train,0.6,32,56.905800656660944
validation,0.6,32,95.99571072105523
train,0.6,33,56.92247933458548
validation,0.6,33,95.99538861362002
train,0.6,34,57.059496516992425
validation,0.6,34,95.99536527373664
train,0.6,35,57.10461406388114
validation,0.6,35,95.99534987847277
train,0.6,36,57.150442845261516
validation,0.6,36,95.99534555627348
train,0.6,37,57.15067584567467
validation,0.6,37,95.99535564140551
train,0.6,38,56.90541914264803
validation,0.6,38,95.99535996360525
train,0.6,39,57.30415923278346
validation,0.6,39,95.99535852287201
train,0.6,40,56.89902834920248
validation,0.6,40,95.9953614043386
test,0.6,,98.71067093876404
